NATIONAL_CODE,CARD_NO,FULL_NAME,BIRTH_DATE,MOBILE
1000185000,6037991100000000,فاطمه اسدي,1360-06-15,09159595000
1000185037,6037991115485863,محمد كريمي,1361-07-16,09159602919
1000185074,6037991130971726,اکبر احمدي,1362-08-17,
1000185111,6037991146457589,اسما موسوي,1363-09-18,09159618757
1000185148,6037991161943452,احمد حسني,1364-01-10,09159626676
1000185185,6037991177429315,علي قاسمي,1365-02-11,
1000185222,6037991192915178,مريم جعفري,1366-03-12,09159642514
1000185259,6037991208401041,زهرا مرادي,1367-04-13,09159650433
1000185296,6037991223886904,رضا محمدي,1368-05-14,
1000185333,6037991239372767,سعيد رضايي,1369-06-15,09159666271
1000185370,6037991254858630,نرگس اسدي,1370-07-16,09159674190
1000185407,6037991270344493,حسين كريمي,1371-08-17,
1000185444,6037991285830356,فاطمه احمدي,1372-09-18,09159690028
1000185481,6037991301316219,محمد موسوي,1373-01-10,09159697947
1000185518,6037991316802082,اکبر حسني,1374-02-11,
1000185555,6037991332287945,اسما قاسمي,1375-03-12,09159713785
1000185592,6037991347773808,احمد جعفري,1376-04-13,09159721704
1000185629,6037991363259671,علي مرادي,1377-05-14,
1000185666,6037991378745534,مريم محمدي,1378-06-15,09159737542
1000185703,6037991394231397,زهرا رضايي,1379-07-16,09159745461
1000185740,6037991409717260,رضا اسدي,1380-08-17,
1000185777,6037991425203123,سعيد كريمي,1381-09-18,09159761299
1000185814,6037991440688986,نرگس احمدي,1382-01-10,09159769218
1000185851,6037991456174849,حسين موسوي,1383-02-11,
1000185888,6037991471660712,فاطمه حسني,1384-03-12,09159785056
1000185925,6037991487146575,محمد قاسمي,1385-04-13,09159792975
1000185962,6037991502632438,اکبر جعفري,1386-05-14,
1000185999,6037991518118301,اسما مرادي,1387-06-15,09159808813
1000186036,6037991533604164,احمد محمدي,1388-07-16,09159816732
1000186073,6037991549090027,علي رضايي,1389-08-17,
1000186110,6037991564575890,مريم اسدي,1390-09-18,09159832570
1000186147,6037991580061753,زهرا كريمي,1391-01-10,09159840489
1000186184,6037991595547616,رضا احمدي,1392-02-11,
1000186221,6037991611033479,سعيد موسوي,1393-03-12,09159856327
1000186258,6037991626519342,نرگس حسني,1394-04-13,09159864246
1000186295,6037991642005205,حسين قاسمي,1395-05-14,
1000186332,6037991657491068,فاطمه جعفري,1396-06-15,09159880084
1000186369,6037991672976931,محمد مرادي,1397-07-16,09159888003
1000186406,6037991688462794,اکبر محمدي,1398-08-17,
1000186443,6037991703948657,اسما رضايي,1399-09-18,09159903841
1000186480,6037991719434520,احمد اسدي,1340-01-10,09159911760
1000186517,6037991734920383,علي كريمي,1341-02-11,
1000186554,6037991750406246,مريم احمدي,1342-03-12,09159927598
1000186591,6037991765892109,زهرا موسوي,1343-04-13,09159935517
1000186628,6037991781377972,رضا حسني,1344-05-14,
1000186665,6037991796863835,سعيد قاسمي,1345-06-15,09159951355
1000186702,6037991812349698,نرگس جعفري,1346-07-16,09159959274
1000186739,6037991827835561,حسين مرادي,1347-08-17,
1000186776,6037991843321424,فاطمه محمدي,1348-09-18,09159975112
1000186813,6037991858807287,محمد رضايي,1349-01-10,09159983031
1000186850,6037991874293150,اکبر اسدي,1350-02-11,
1000186887,6037991889779013,اسما كريمي,1351-03-12,09159998869
1000186924,6037991905264876,احمد احمدي,1352-04-13,09160006788
1000186961,6037991920750739,علي موسوي,1353-05-14,
